,BER,PER,code_rate,drops_num,loop_num,size
47,1e-05,0.17798857089804598,2.035732385442071,67.25,100,2450
48,1e-05,0.18127006565707493,2.131812653759927,68.74,100,2500
49,1e-05,0.18453846058868983,2.046279708273721,64.43,100,2550
50,1e-05,0.18779380798780243,2.0759080931097698,63.85,100,2600
51,1e-05,0.19103615994056133,2.1782076247321527,65.47,100,2650
52,1e-05,0.1942655683251857,2.0713045437659394,60.86,100,2700
53,1e-05,0.1974820848127954,2.0888830083977368,60.02,100,2750
54,1e-05,0.20068576086823742,2.198715942179403,61.8,100,2800
55,1e-05,0.20387664775090963,2.182230676994961,60.02,100,2850
56,1e-05,0.20705479651558079,2.1551262388705803,58.02,100,2900
57,1e-05,0.21022025801320732,2.1870338573160253,57.65,100,2950
58,1e-05,0.2133730828917474,2.2117127845794537,57.1,100,3000
59,1e-05,0.21651332159697056,2.2730066168514718,57.49,100,3050
60,1e-05,0.21964102437326571,2.2069615087582526,54.7,100,3100
61,1e-05,0.22275624126444438,2.2490761992102546,54.64,100,3150
62,1e-05,0.22585902211454167,2.2700031493629487,54.07,100,3200
63,1e-05,0.2289494165686139,2.2744713743557687,53.13,100,3250
64,1e-05,0.23202747407353264,2.2628573951533912,51.85,100,3300
65,1e-05,0.23509324387877617,2.3357077244135027,52.51,100,3350
66,1e-05,0.23814677503721737,2.2808063202783275,50.32,100,3400
67,1e-05,0.24118811640590854,2.3564091926445343,51.03,100,3450
68,1e-05,0.24421731664686286,2.3563999330754033,50.1,100,3500
69,1e-05,0.2472344242278336,2.372819886105194,49.54,100,3550
70,1e-05,0.2502394874230892,2.365167180994425,48.5,100,3600
71,1e-05,0.2532325543141857,2.2517527494121437,45.36,100,3650
72,1e-05,0.25621367279073604,2.342270935009367,46.36,100,3700
73,1e-05,0.2591828905511765,2.394748536416011,46.58,100,3750
74,1e-05,0.2621402551035297,2.3234241652981056,44.42,100,3800
75,1e-05,0.2650858137661646,2.3549173907172043,44.26,100,3850
76,1e-05,0.268019613668554,2.489760454861369,46.01,100,3900
77,1e-05,0.2709417017520285,2.376611589971834,43.19,100,3950
78,1e-05,0.273852124770527,2.4224955353964654,43.3,100,4000
79,1e-05,0.2767509292913459,2.4273461791700526,42.68,100,4050
80,1e-05,0.27963816169588296,2.4712088275132977,42.75,100,4100
81,1e-05,0.28251386818038027,2.4637871189180607,41.94,100,4150
82,1e-05,0.285378094756663,2.4467582019146383,40.99,100,4200
83,1e-05,0.28823088725287593,2.5318993692574367,41.75,100,4250
84,1e-05,0.2910722913142161,2.4253369746035807,39.37,100,4300
85,1e-05,0.2939023524036638,2.5372047713724095,40.55,100,4350
86,1e-05,0.29672111580270977,2.5817375380120295,40.63,100,4400
87,1e-05,0.29952862661207935,2.6215407353528484,40.63,100,4450
88,1e-05,0.30232492975245473,2.522087833224987,38.5,100,4500
89,1e-05,0.3051100699651932,2.474544208802333,37.21,100,4550
90,1e-05,0.3078840918130431,2.679844999569664,39.7,100,4600
91,1e-05,0.31064703968085716,2.6458410240665398,38.62,100,4650
92,1e-05,0.3133989577763022,2.5723809945678933,37.0,100,4700
93,1e-05,0.31613989013056687,2.559374183342142,36.28,100,4750
94,1e-05,0.31886988059906574,2.5687673891913083,35.89,100,4800
95,1e-05,0.3215889728621415,2.646589232934177,36.45,100,4850
96,1e-05,0.3242972104257632,2.8090613572300693,38.14,100,4900
97,1e-05,0.32699463662222317,2.722107113962762,36.44,100,4950
98,1e-05,0.3296812946108295,2.7348658996201904,36.1,100,5000
