,file_list,psnr,size
56,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_57_100.bmp,25.586133421864847,0.57
57,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_58_100.bmp,25.644150137772176,0.58
58, ,0.0,0.0
59, ,0.0,0.0
60,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_61_100.bmp,26.231080556049655,0.61
61,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_62_100.bmp,26.421367988962796,0.62
62,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_63_100.bmp,26.58248809796321,0.63
63, ,0.0,0.0
64,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_65_100.bmp,26.74155943042091,0.65
65, ,0.0,0.0
66,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_67_100.bmp,26.920392567849948,0.67
67,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_68_100.bmp,27.034678591222317,0.68
68,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_69_100.bmp,27.157402954733108,0.69
69, ,0.0,0.0
70,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_71_100.bmp,27.38224324805327,0.71
71,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_72_100.bmp,27.47095333187903,0.72
72,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_73_100.bmp,27.522507726676192,0.73
73,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_74_100.bmp,27.644297741516564,0.74
74,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_75_100.bmp,27.75556680618974,0.75
75,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_76_100.bmp,27.8397669225578,0.76
76,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_77_100.bmp,27.931237549139492,0.77
77, ,0.0,0.0
78,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_79_100.bmp,28.139491644256776,0.79
79, ,0.0,0.0
80, ,0.0,0.0
81,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_82_100.bmp,28.596501245493148,0.82
82,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_83_100.bmp,28.77767627472516,0.83
